"","50","49","48","47","46","45","44","43","42","41","40","39","38","37","36","35","34","33","32","31","30","29","28","27","26","25","24","23","22","21","20","19","18","17","16","15","14","13","12","11","10","9","8","7","6","5","4","3","2"
"H1_Exp1.031","mc50-5","mc49-5","mc48-5","mc47-5","mc46-5","mc45-5","mc44-5","mc43-5","mc42-5","mc41-5","mc40-5","mc39-5","mc38-5","mc37-5","mc36-4","mc35-4","mc34-4","mc33-3","mc32-3","mc31-3","mc30-2","mc29-2","mc28-2","mc27-1","mc26-1","mc25-2","mc24-1","mc23-1","mc22-5","mc21-5","mc20-4","mc19-4","mc18-4","mc17-3","mc16-2","mc15-1","mc14-17","mc13-17","mc12-17","mc11-16","mc10-16","mc9-14","mc8-12","mc7-6","mc6-34","mc5-30","mc4-23","mc3-55","mc2-13"
"H1_Exp1.032","mc50-3","mc49-3","mc48-3","mc47-3","mc46-3","mc45-3","mc44-3","mc43-3","mc42-3","mc41-3","mc40-3","mc39-3","mc38-3","mc37-3","mc36-2","mc35-2","mc34-2","mc33-1","mc32-1","mc31-1","mc30-9","mc29-9","mc28-9","mc27-8","mc26-8","mc25-8","mc24-7","mc23-7","mc22-7","mc21-7","mc20-6","mc19-6","mc18-6","mc17-6","mc16-5","mc15-4","mc14-2","mc13-16","mc12-16","mc11-15","mc10-15","mc9-12","mc8-7","mc7-1","mc6-35","mc5-33","mc4-27","mc3-5","mc2-87"
"H1_Exp1.033","mc50-6","mc49-6","mc48-6","mc47-6","mc46-6","mc45-6","mc44-6","mc43-6","mc42-6","mc41-6","mc40-6","mc39-6","mc38-6","mc37-6","mc36-5","mc35-5","mc34-5","mc33-4","mc32-4","mc31-4","mc30-4","mc29-4","mc28-4","mc27-3","mc26-3","mc25-3","mc24-2","mc23-2","mc22-1","mc21-3","mc20-2","mc19-2","mc18-2","mc17-1","mc16-11","mc15-10","mc14-8","mc13-6","mc12-5","mc11-2","mc10-2","mc9-21","mc8-22","mc7-20","mc6-14","mc5-2","mc4-36","mc3-23","mc2-26"
"H1_Exp1.035","mc50-6","mc49-6","mc48-6","mc47-6","mc46-6","mc45-6","mc44-6","mc43-6","mc42-6","mc41-6","mc40-6","mc39-6","mc38-6","mc37-6","mc36-5","mc35-5","mc34-5","mc33-4","mc32-4","mc31-4","mc30-4","mc29-4","mc28-4","mc27-3","mc26-3","mc25-3","mc24-2","mc23-2","mc22-1","mc21-3","mc20-2","mc19-2","mc18-2","mc17-1","mc16-11","mc15-10","mc14-8","mc13-6","mc12-5","mc11-2","mc10-2","mc9-22","mc8-23","mc7-23","mc6-19","mc5-9","mc4-21","mc3-68","mc2-55"
"H1_Exp1.036","mc50-7","mc49-7","mc48-7","mc47-7","mc46-8","mc45-8","mc44-8","mc43-8","mc42-8","mc41-8","mc40-8","mc39-8","mc38-8","mc37-8","mc36-7","mc35-7","mc34-7","mc33-6","mc32-6","mc31-6","mc30-6","mc29-6","mc28-6","mc27-5","mc26-5","mc25-5","mc24-4","mc23-4","mc22-3","mc21-2","mc20-1","mc19-1","mc18-1","mc17-5","mc16-4","mc15-3","mc14-1","mc13-7","mc12-6","mc11-3","mc10-3","mc9-13","mc8-10","mc7-4","mc6-11","mc5-18","mc4-1","mc3-15","mc2-38"
"H1_Exp1.038","mc50-6","mc49-6","mc48-6","mc47-6","mc46-6","mc45-6","mc44-6","mc43-6","mc42-6","mc41-6","mc40-6","mc39-6","mc38-6","mc37-6","mc36-5","mc35-5","mc34-5","mc33-4","mc32-4","mc31-4","mc30-4","mc29-4","mc28-4","mc27-3","mc26-3","mc25-3","mc24-2","mc23-2","mc22-1","mc21-3","mc20-2","mc19-2","mc18-2","mc17-1","mc16-11","mc15-10","mc14-8","mc13-6","mc12-5","mc11-2","mc10-2","mc9-22","mc8-23","mc7-23","mc6-19","mc5-9","mc4-55","mc3-61","mc2-25"
"H1_Exp1.039","mc50-6","mc49-6","mc48-6","mc47-6","mc46-6","mc45-6","mc44-6","mc43-6","mc42-6","mc41-6","mc40-6","mc39-6","mc38-6","mc37-6","mc36-5","mc35-5","mc34-5","mc33-4","mc32-4","mc31-4","mc30-4","mc29-4","mc28-4","mc27-3","mc26-3","mc25-3","mc24-2","mc23-2","mc22-1","mc21-3","mc20-2","mc19-2","mc18-2","mc17-1","mc16-13","mc15-12","mc14-10","mc13-9","mc12-8","mc11-5","mc10-5","mc9-2","mc8-8","mc7-2","mc6-32","mc5-27","mc4-18","mc3-17","mc2-62"
"H1_Exp1.040","mc50-6","mc49-6","mc48-6","mc47-6","mc46-6","mc45-6","mc44-6","mc43-6","mc42-6","mc41-6","mc40-6","mc39-6","mc38-6","mc37-6","mc36-5","mc35-5","mc34-5","mc33-4","mc32-4","mc31-4","mc30-4","mc29-4","mc28-4","mc27-3","mc26-3","mc25-3","mc24-2","mc23-2","mc22-1","mc21-3","mc20-2","mc19-2","mc18-2","mc17-1","mc16-11","mc15-10","mc14-8","mc13-6","mc12-5","mc11-2","mc10-2","mc9-22","mc8-23","mc7-23","mc6-19","mc5-9","mc4-21","mc3-46","mc2-1"
"H1_Exp1.041","mc50-5","mc49-5","mc48-5","mc47-5","mc46-5","mc45-5","mc44-5","mc43-5","mc42-5","mc41-5","mc40-5","mc39-5","mc38-5","mc37-5","mc36-4","mc35-4","mc34-4","mc33-3","mc32-3","mc31-3","mc30-2","mc29-2","mc28-2","mc27-1","mc26-1","mc25-11","mc24-11","mc23-11","mc22-12","mc21-13","mc20-13","mc19-13","mc18-13","mc17-13","mc16-14","mc15-13","mc14-12","mc13-11","mc12-10","mc11-7","mc10-7","mc9-4","mc8-18","mc7-14","mc6-7","mc5-45","mc4-46","mc3-43","mc2-27"
"H1_Exp1.042","mc50-6","mc49-6","mc48-6","mc47-6","mc46-6","mc45-6","mc44-6","mc43-6","mc42-6","mc41-6","mc40-6","mc39-6","mc38-6","mc37-6","mc36-5","mc35-5","mc34-5","mc33-4","mc32-4","mc31-4","mc30-4","mc29-4","mc28-4","mc27-3","mc26-3","mc25-3","mc24-2","mc23-2","mc22-1","mc21-3","mc20-2","mc19-2","mc18-2","mc17-1","mc16-13","mc15-12","mc14-10","mc13-9","mc12-8","mc11-5","mc10-5","mc9-2","mc8-8","mc7-2","mc6-25","mc5-17","mc4-9","mc3-8","mc2-5"
