"","58","50","44","39","35","27","32","25","23","20","21","15","13","11","9","6","4"
"H1_Exp1.044","mc58-5","mc50-2","mc44-3","mc39-8","mc35-1","mc27-12","mc32-10","mc25-11","mc23-4","mc20-16","mc21-14","mc15-18","mc13-2","mc11-2","mc9-6","mc6-2",NA
"H1_Exp1.045","mc58-5","mc50-2","mc44-3","mc39-8","mc35-1","mc27-12","mc32-10","mc25-11","mc23-4","mc20-16","mc21-14","mc15-16","mc13-6","mc11-6","mc9-5","mc6-6","mc4-8"
"H1_Exp1.047","mc58-5","mc50-2","mc44-3","mc39-8","mc35-1","mc27-12","mc32-10","mc25-7","mc23-3","mc20-9","mc21-15","mc15-19","mc13-8","mc11-4","mc9-6",NA,NA
"H1_Exp1.048","mc58-5","mc50-2","mc44-3","mc39-8","mc35-1","mc27-12","mc32-10","mc25-11","mc23-4","mc20-16","mc21-14","mc15-18","mc13-2","mc11-6","mc9-7","mc6-1",NA
"H1_Exp1.049","mc58-5","mc50-2","mc44-3","mc39-8","mc35-1","mc27-12","mc32-10","mc25-11","mc23-4","mc20-16","mc21-14","mc15-18","mc13-7","mc11-1","mc9-9","mc6-7","mc4-5"
"H1_Exp1.050","mc58-5","mc50-2","mc44-3","mc39-8","mc35-1","mc27-12","mc32-10","mc25-11","mc23-4","mc20-16","mc21-14","mc15-18","mc13-7","mc11-4","mc9-6",NA,NA
"H1_Exp1.051","mc58-5","mc50-2","mc44-3","mc39-8","mc35-1","mc27-12","mc32-10","mc25-11","mc23-4","mc20-16","mc21-14","mc15-18","mc13-7","mc11-4","mc9-3","mc6-5","mc4-8"
"H1_Exp1.052","mc58-5","mc50-2","mc44-3","mc39-8","mc35-1","mc27-12","mc32-10","mc25-11","mc23-4","mc20-16","mc21-14","mc15-18","mc13-7","mc11-4","mc9-6","mc6-8","mc4-5"
"H1_Exp1.053","mc58-5","mc50-2","mc44-3","mc39-8","mc35-1","mc27-12","mc32-10","mc25-11","mc23-4","mc20-16","mc21-8","mc15-17","mc13-2","mc11-5","mc9-9",NA,NA
"H1_Exp1.054","mc58-5","mc50-2","mc44-3","mc39-8","mc35-1","mc27-12","mc32-10","mc25-11","mc23-4","mc20-16","mc21-14","mc15-18","mc13-2","mc11-5","mc9-4","mc6-5",NA
"H1_Exp1.055","mc58-5","mc50-2","mc44-3","mc39-8","mc35-1","mc27-12","mc32-10","mc25-11","mc23-4","mc20-16","mc21-15","mc15-19","mc13-8","mc11-7","mc9-1","mc6-2","mc4-7"
"H1_Exp1.057","mc58-5","mc50-2","mc44-3","mc39-8","mc35-1","mc27-12","mc32-10","mc25-7","mc23-3","mc20-9","mc21-15","mc15-19","mc13-8","mc11-5","mc9-2",NA,NA
"H1_Exp1.058","mc58-5","mc50-2","mc44-3","mc39-8","mc35-1","mc27-12","mc32-7","mc25-9","mc23-2","mc20-10","mc21-12","mc15-15",NA,NA,NA,NA,NA
"H1_Exp1.060","mc58-5","mc50-2","mc44-3","mc39-8","mc35-1","mc27-12","mc32-10","mc25-11","mc23-4","mc20-16","mc21-14","mc15-18","mc13-2","mc11-6","mc9-7","mc6-1",NA
"H1_Exp1.061","mc58-5","mc50-2","mc44-3","mc39-8","mc35-1","mc27-12","mc32-10","mc25-11","mc23-4","mc20-16","mc21-14","mc15-18","mc13-7","mc11-1","mc9-6","mc6-2","mc4-4"
"H1_Exp1.062","mc58-5","mc50-2","mc44-3","mc39-8","mc35-1","mc27-12","mc32-10","mc25-11","mc23-4","mc20-16","mc21-14","mc15-18","mc13-7","mc11-1","mc9-7","mc6-1","mc4-3"
"H1_Exp1.063","mc58-5","mc50-2","mc44-3","mc39-8","mc35-1","mc27-12","mc32-10","mc25-11","mc23-4","mc20-16","mc21-15","mc15-18","mc13-7","mc11-5","mc9-9",NA,NA
