"","192","193","178","165","154","155","145","136","129","122","137","116","111","106","102","98","94","97","90","84","87","78","74","76","81","72","71","66","69","61","59","64","58","54","51","45","46","42","38","33","34","29","27","26","23","22","19","18","16","15","14","12","10","9","8","7","5","4"
"W2035276","mc192-10","mc193-8","mc178-1","mc165-10","mc154-4","mc155-11","mc145-1","mc136-1","mc129-4","mc122-1","mc137-1","mc116-1","mc111-1","mc106-1","mc102-2","mc98-3","mc94-6","mc97-3","mc90-7","mc84-4","mc87-4","mc78-4","mc74-6","mc76-9","mc81-2","mc72-10","mc71-8","mc66-8","mc69-7","mc61-7","mc59-3","mc64-7","mc58-9","mc54-14","mc51-6","mc45-8","mc46-5","mc42-16","mc38-17","mc33-21","mc34-16","mc29-17","mc27-22","mc26-18","mc23-13","mc22-30","mc19-35","mc18-31","mc16-19","mc15-38","mc14-38","mc12-46","mc10-66","mc9-28","mc8-29","mc7-90","mc5-71","mc4-516"
"W2035277","mc192-11","mc193-11","mc178-5","mc165-14","mc154-14","mc155-12","mc145-11","mc136-14","mc129-7","mc122-14","mc137-6","mc116-14","mc111-14","mc106-16","mc102-17","mc98-18","mc94-18","mc97-19","mc90-20","mc84-15","mc87-20","mc78-24","mc74-23","mc76-26","mc81-22","mc72-25","mc71-25","mc66-29","mc69-24","mc61-28","mc59-25","mc64-37","mc58-30","mc54-27","mc51-38","mc45-30","mc46-39","mc42-24","mc38-30","mc33-69","mc34-63","mc29-81","mc27-31","mc26-78","mc23-56","mc22-84","mc19-115","mc18-69","mc16-105","mc15-86","mc14-175","mc12-199","mc10-143","mc9-176","mc8-205","mc7-249","mc5-399","mc4-16"
"W2035292",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mc106-3","mc102-4","mc98-2","mc94-5","mc97-2","mc90-9","mc84-5","mc87-6","mc78-3","mc74-5","mc76-7","mc81-3","mc72-12","mc71-7","mc66-1",NA,"mc61-11","mc59-11","mc64-5","mc58-2","mc54-7","mc51-1","mc45-1","mc46-3","mc42-14","mc38-13","mc33-16","mc34-20","mc29-21","mc27-24","mc26-13","mc23-20","mc22-3","mc19-16","mc18-134","mc16-99","mc15-135","mc14-9","mc12-4","mc10-4","mc9-20","mc8-1","mc7-11","mc5-130","mc4-560"
"W2035304","mc192-11","mc193-11","mc178-5","mc165-14","mc154-14","mc155-12","mc145-11","mc136-14","mc129-7","mc122-14","mc137-6","mc116-14","mc111-14","mc106-16","mc102-17","mc98-18","mc94-18","mc97-19","mc90-20","mc84-15","mc87-20","mc78-24","mc74-23","mc76-26","mc81-22","mc72-25","mc71-25","mc66-29","mc69-24","mc61-26","mc59-25","mc64-37","mc58-31","mc54-27","mc51-31","mc45-30","mc46-38","mc42-22","mc38-20","mc33-24","mc34-46","mc29-79","mc27-27","mc26-74","mc23-102","mc22-87","mc19-124","mc18-66","mc16-92","mc15-134","mc14-107","mc12-68","mc10-141","mc9-185","mc8-211","mc7-263","mc5-289","mc4-12"
"W2035306","mc192-3","mc193-3","mc178-9","mc165-7","mc154-6","mc155-4","mc145-16","mc136-10","mc129-9","mc122-19","mc137-13","mc116-13","mc111-12","mc106-20","mc102-19","mc98-14","mc94-24","mc97-24","mc90-22","mc84-19","mc87-23","mc78-30","mc74-30","mc76-30","mc81-29","mc72-32","mc71-27","mc66-34","mc69-34","mc61-35","mc59-35","mc64-25","mc58-39","mc54-34","mc51-41","mc45-47","mc46-34","mc42-25","mc38-32","mc33-37","mc34-54","mc29-65","mc27-40","mc26-82","mc23-65","mc22-56","mc19-95","mc18-114","mc16-103","mc15-71","mc14-173","mc12-109","mc10-189","mc9-220","mc8-267","mc7-311",NA,NA
"W2035307","mc192-10","mc193-8","mc178-1","mc165-10","mc154-4","mc155-11","mc145-1","mc136-1","mc129-4","mc122-1","mc137-1","mc116-1","mc111-1","mc106-1","mc102-2","mc98-3","mc94-6","mc97-3","mc90-6","mc84-3","mc87-5","mc78-1","mc74-3","mc76-6","mc81-1","mc72-5","mc71-5","mc66-7","mc69-5","mc61-5","mc59-4","mc64-6","mc58-8","mc54-10","mc51-3","mc45-3","mc46-4","mc42-13","mc38-14","mc33-17","mc34-19","mc29-22","mc27-23","mc26-14","mc23-9","mc22-26","mc19-31","mc18-33","mc16-20","mc15-39","mc14-37","mc12-44","mc10-62","mc9-26","mc8-26","mc7-93","mc5-7","mc4-387"
"W2035313","mc192-10","mc193-8","mc178-1","mc165-10","mc154-4","mc155-11","mc145-1","mc136-1","mc129-4","mc122-1","mc137-1","mc116-1","mc111-1","mc106-1","mc102-2","mc98-3","mc94-6","mc97-3","mc90-7","mc84-4","mc87-4","mc78-4","mc74-6","mc76-9","mc81-2","mc72-10","mc71-8","mc66-8","mc69-7","mc61-6","mc59-3","mc64-8","mc58-10","mc54-13","mc51-7","mc45-6","mc46-6","mc42-15","mc38-15","mc33-18","mc34-16","mc29-17","mc27-19","mc26-18","mc23-13","mc22-30","mc19-35","mc18-31","mc16-19","mc15-38","mc14-38","mc12-46","mc10-66","mc9-28","mc8-29","mc7-91","mc5-14","mc4-395"
"W2035317","mc192-9","mc193-10","mc178-3","mc165-12","mc154-2","mc155-9","mc145-2","mc136-3","mc129-5","mc122-3","mc137-4","mc116-3","mc111-3","mc106-5","mc102-1","mc98-4","mc94-7","mc97-4","mc90-4","mc84-2","mc87-7","mc78-6","mc74-2","mc76-5","mc81-5","mc72-8","mc71-11","mc66-10","mc69-9","mc61-9","mc59-2","mc64-10","mc58-12","mc54-11","mc51-4","mc45-4","mc46-17","mc42-11","mc38-5","mc33-8","mc34-5","mc29-2","mc27-16","mc26-19","mc23-5","mc22-24","mc19-25","mc18-24","mc16-7","mc15-28","mc14-43","mc12-53","mc10-48","mc9-57",NA,"mc7-106","mc5-8","mc4-407"
"W2035318","mc192-10","mc193-8","mc178-1","mc165-10","mc154-4","mc155-11","mc145-1","mc136-1","mc129-4","mc122-1","mc137-1","mc116-1","mc111-1","mc106-1","mc102-2","mc98-3","mc94-6","mc97-3","mc90-7","mc84-4","mc87-4","mc78-4","mc74-6","mc76-9","mc81-2","mc72-10","mc71-8","mc66-8","mc69-7","mc61-6","mc59-3","mc64-8","mc58-10","mc54-13","mc51-7","mc45-6","mc46-6","mc42-17","mc38-16","mc33-20","mc34-18","mc29-18","mc27-20","mc26-17","mc23-12","mc22-29","mc19-32","mc18-32","mc16-24","mc15-40","mc14-35","mc12-49","mc10-65","mc9-27","mc8-28","mc7-44","mc5-1","mc4-397"
"W2035321","mc192-11","mc193-11","mc178-5","mc165-14","mc154-14","mc155-12","mc145-11","mc136-14","mc129-7","mc122-14","mc137-6","mc116-14","mc111-14","mc106-16","mc102-17","mc98-18","mc94-18","mc97-19","mc90-20","mc84-15","mc87-20","mc78-24","mc74-23","mc76-26","mc81-22","mc72-25","mc71-25","mc66-29","mc69-24","mc61-28","mc59-25","mc64-37","mc58-30","mc54-27","mc51-31","mc45-45","mc46-39","mc42-23","mc38-30","mc33-69","mc34-63","mc29-81","mc27-27","mc26-63","mc23-98","mc22-84","mc19-115","mc18-67","mc16-92","mc15-126","mc14-116","mc12-67","mc10-154","mc9-177","mc8-191","mc7-255","mc5-291","mc4-18"
